category,text,label
Hostel,The hostel experience was excellent and enriching. overall.,positive
Academics,I have a neutral view about the academics.,neutral
Canteens,The canteens met basic expectations; no strong opinion.,neutral
Hostel Mess,poor,neutral
Hostel,"Overall, the hostel has been a highly positive experience. nuanced.",positive
Canteens,I have a neutral view about the canteens. frankly speaking.,neutral
Academics,The academics team handled things brilliantly — commendable effort.,positive
Canteens,The canteens experience was excellent and enriching.,positive
Transport,"It felt typical regarding the transport, neither good nor bad.",neutral
Transport,I found the transport unsatisfactory and frustrating. lamentable.,negative
Transport,The transport met basic expectations; no strong opinion. in general. nuanced.,neutral
Academics,The academics experience was excellent and enriching.,positive
Academics,bad,positive
Academics,The academics experience was poor and needs immediate rectification.,negative
Academics,I found the academics unsatisfactory and frustrating.,negative
Academics,The academics team handled things brilliantly — commendable effort.,positive
Canteens,"Overall, the canteens has been a highly positive experience. from my perspective.",positive
Hostel,"Overall, the hostel has been a highly positive experience.",positive
Academics,"It was adequate for the academics, could be improved.",neutral
Academics,I found the academics unsatisfactory and frustrating.,negative
Hostel,"It was adequate for the hostel, could be improved.",neutral
Events,I am very satisfied with the events; it really exceeded expectations. in general.,positive
Events,The events experience was poor and needs immediate rectification. frankly speaking.,negative
Transport,"Overall, the transport has been a highly positive experience.",positive
Events,I found the events unsatisfactory and frustrating.,negative
Academics,The academics team handled things brilliantly — commendable effort.,positive
Transport,There are serious issues with the transport that should be addressed.,negative
Events,The events experience was excellent and enriching. commendable.,positive
Hostel,"I appreciate the hostel, it was extremely helpful and supportive. commendable.",positive
Hostel Mess,"Overall, the hostel mess has been a highly positive experience.",positive
Canteens,I found the canteens unsatisfactory and frustrating.,negative
Events,I have a neutral view about the events.,neutral
Hostel,I am very satisfied with the hostel; it really exceeded expectations.,positive
Hostel Mess,"I appreciate the hostel mess, it was extremely helpful and supportive.",positive
Academics,neutral,negative
Hostel Mess,I have a neutral view about the hostel mess.,neutral
Transport,I have a neutral view about the transport.,neutral
Transport,"Overall, the transport has been a highly positive experience.",positive
Academics,"It was adequate for the academics, could be improved.",neutral
Transport,"It was adequate for the transport, could be improved. in general. ascertain.",neutral
Hostel,The hostel met basic expectations; no strong opinion. frankly speaking.,neutral
Hostel,The hostel was lamentable and quite problematic.,negative
Hostel Mess,I am very satisfied with the hostel mess; it really exceeded expectations.,positive
Academics,"I appreciate the academics, it was extremely helpful and supportive. overall.",positive
Hostel Mess,The hostel mess was lamentable and quite problematic.,negative
Events,"It was adequate for the events, could be improved. from my perspective.",neutral
Canteens,"The canteens was average, nothing extraordinary.",neutral
Transport,"The transport was average, nothing extraordinary.",neutral
Transport,excellent,positive
Events,"The events was average, nothing extraordinary. lamentable.",neutral
Transport,The transport team handled things brilliantly — commendable effort.,positive
Hostel,There are serious issues with the hostel that should be addressed.,negative
Academics,"Overall, the academics has been a highly positive experience.",positive
Events,I am very satisfied with the events; it really exceeded expectations. facilitate.,positive
Hostel Mess,The hostel mess met basic expectations; no strong opinion.,neutral
Canteens,I have a neutral view about the canteens. frankly speaking.,neutral
Hostel,I found the hostel unsatisfactory and frustrating. from my perspective.,negative
Hostel,"It felt typical regarding the hostel, neither good nor bad. ameliorate.",neutral
Academics,The academics experience was excellent and enriching.,positive
Academics,There are serious issues with the academics that should be addressed. facilitate.,negative
Events,I am disappointed with the events; it was substandard. to be honest.,negative
Hostel Mess,I am very satisfied with the hostel mess; it really exceeded expectations.,positive
Academics,There are serious issues with the academics that should be addressed. from my perspective.,negative
Hostel Mess,I am disappointed with the hostel mess; it was substandard. frankly speaking.,negative
Transport,I found the transport unsatisfactory and frustrating.,negative
Events,There are serious issues with the events that should be addressed.,negative
Hostel Mess,I have a neutral view about the hostel mess.,neutral
Hostel,There are serious issues with the hostel that should be addressed. from my perspective.,negative
Academics,I am very satisfied with the academics; it really exceeded expectations.,positive
Events,"It felt typical regarding the events, neither good nor bad. to be honest.",neutral
Events,The events experience was poor and needs immediate rectification.,negative
Hostel,I have a neutral view about the hostel.,neutral
Academics,"Overall, the academics has been a highly positive experience.",positive
Transport,The transport team handled things brilliantly — commendable effort.,positive
Hostel,"I appreciate the hostel, it was extremely helpful and supportive. overall.",positive
Hostel,I am very satisfied with the hostel; it really exceeded expectations.,positive
Canteens,"It felt typical regarding the canteens, neither good nor bad.",neutral
Transport,I found the transport unsatisfactory and frustrating.,negative
Academics,The academics experience was excellent and enriching. facilitate.,positive
Canteens,I have a neutral view about the canteens.,neutral
Hostel Mess,The hostel mess met basic expectations; no strong opinion.,neutral
Hostel,neutral,neutral
Transport,I found the transport unsatisfactory and frustrating. ascertain.,negative
Hostel Mess,"It felt typical regarding the hostel mess, neither good nor bad.",neutral
Hostel,I am disappointed with the hostel; it was substandard.,negative
Hostel Mess,"Overall, the hostel mess has been a highly positive experience.",positive
Transport,"It was adequate for the transport, could be improved.",neutral
Hostel Mess,"I appreciate the hostel mess, it was extremely helpful and supportive.",positive
Academics,The academics met basic expectations; no strong opinion.,neutral
Transport,"It was adequate for the transport, could be improved.",neutral
Events,The events was lamentable and quite problematic. from my perspective.,negative
Hostel Mess,The hostel mess team handled things brilliantly — commendable effort. in general.,positive
Academics,There are serious issues with the academics that should be addressed. from my perspective.,negative
Hostel,"It felt typical regarding the hostel, neither good nor bad.",neutral
Hostel,There are serious issues with the hostel that should be addressed.,negative
Hostel,I have a neutral view about the hostel. in general.,neutral
Hostel Mess,I found the hostel mess unsatisfactory and frustrating. frankly speaking.,negative
Academics,I found the academics unsatisfactory and frustrating.,negative
Canteens,The canteens was lamentable and quite problematic.,negative
Academics,The academics team handled things brilliantly — commendable effort.,positive
Hostel Mess,I am very satisfied with the hostel mess; it really exceeded expectations.,positive
Hostel,"I appreciate the hostel, it was extremely helpful and supportive.",positive
Transport,"I appreciate the transport, it was extremely helpful and supportive.",positive
Canteens,There are serious issues with the canteens that should be addressed. from my perspective.,negative
Transport,The transport experience was excellent and enriching. nuanced.,positive
Hostel Mess,"It felt typical regarding the hostel mess, neither good nor bad.",neutral
Academics,The academics met basic expectations; no strong opinion. ubiquitous.,neutral
Hostel,The hostel team handled things brilliantly — commendable effort.,positive
Events,"It was adequate for the events, could be improved.",neutral
Events,"The events was average, nothing extraordinary.",neutral
Academics,"The academics was average, nothing extraordinary.",neutral
Events,The events experience was poor and needs immediate rectification.,negative
Transport,"I appreciate the transport, it was extremely helpful and supportive.",positive
Academics,"The academics was average, nothing extraordinary.",neutral
