text,sentiment
"The washroom staff were super friendly and helpful. Had doubts at first, but they really improved things.",positive
Very satisfied with the canteen — keep it up!,positive
"Can’t say much about the food court, feels pretty normal.",neutral
"The college life is okay, nothing much to complain or praise.",neutral
It’s acceptable. bus service works as expected.,neutral
"The library is okay, nothing much to complain or praise.",neutral
Great job by the management improving the bus service.,positive
"The food court is manageable. Not great, not bad either. Management is trying, but results aren’t always visible.",neutral
"The hostel is manageable. Not great, not bad either. Could go either way depending on the day.",neutral
The wifi has improved so much recently.,positive
"Can’t say much about the facilities, feels pretty normal. Could go either way depending on the day.",neutral
"The college life is manageable. Not great, not bad either.",neutral
"Mixed feelings about the library. Some days are good, some aren’t. Not sure how to feel, some parts are fine, some not.",neutral
"Mixed feelings about the canteen. Some days are good, some aren’t. Could go either way depending on the day.",neutral
The food court could use slight improvements but it’s not too bad.,neutral
"It’s acceptable. campus works as expected. Not sure how to feel, some parts are fine, some not.",neutral
"The hostel is manageable. Not great, not bad either.",neutral
Everything about the college life felt smooth and well-organized.,positive
The hostel staff were super friendly and helpful. Would definitely recommend it to other students.,positive
"Honestly, the food court exceeded my expectations.",positive
I really liked the cultural night! 😄,positive
"Loved the atmosphere during the tech symposium! ❤️ Had doubts at first, but they really improved things.",positive
It’s acceptable. tech symposium works as expected.,neutral
The tech symposium service is poor and staff don’t seem to care.,negative
"Honestly, the cultural night exceeded my expectations.",positive
I really hate how the wifi is managed.,negative
The canteen experience keeps getting worse.,negative
Great job by the management improving the shuttle. The new system is faster and more organized.,positive
The mess service is poor and staff don’t seem to care. I hope someone actually listens this time.,negative
Wish the management paid more attention to fixing the canteen.,negative
"The hostel service isn’t consistent, but nothing major to complain about.",neutral
"Honestly, snack corner seems average to me.",neutral
Very disappointed with the washroom. 😞 I hope someone actually listens this time.,negative
The facilities could use slight improvements but it’s not too bad. Could go either way depending on the day.,neutral
"The facilities is manageable. Not great, not bad either. Not sure how to feel, some parts are fine, some not.",neutral
"The washroom is okay, nothing much to complain or praise.",neutral
Loved the atmosphere during the facilities! ❤️ Would definitely recommend it to other students.,positive
Totally frustrated by the campus. Needs serious improvement.,negative
"Wish the management paid more attention to fixing the bus service. If this continues, things will only get worse.",negative
"The shuttle is manageable. Not great, not bad either. Not sure how to feel, some parts are fine, some not.",neutral
Totally frustrated by the library. Needs serious improvement.,negative
"Honestly, the mess exceeded my expectations. The new system is faster and more organized.",positive
Had an awesome experience with the facilities. Would definitely recommend it to other students.,positive
Not satisfied at all with the mess. 😠,negative
"Unhappy about the shuttle, nothing ever changes.",negative
It’s acceptable. canteen works as expected.,neutral
"Very disappointed with the mess. 😞 If this continues, things will only get worse.",negative
Kudos to whoever manages the transport! 👏,positive
"It’s fine overall, though food court could be better maintained. Management is trying, but results aren’t always visible.",neutral
"It’s fine overall, though facilities could be better maintained. Not sure how to feel, some parts are fine, some not.",neutral
Great job by the management improving the library. The new system is faster and more organized.,positive
"There’s room for improvement in the hostel, but it’s fine for now.",neutral
"Can’t say much about the facilities, feels pretty normal.",neutral
"Can’t say much about the wifi, feels pretty normal.",neutral
"The mess is manageable. Not great, not bad either. Management is trying, but results aren’t always visible.",neutral
"It’s acceptable. hostel works as expected. Management is trying, but results aren’t always visible.",neutral
Very satisfied with the hostel — keep it up! The new system is faster and more organized.,positive
"The pickup point service isn’t consistent, but nothing major to complain about.",neutral
"The club event is okay, nothing much to complain or praise.",neutral
"Honestly, room seems average to me.",neutral
"Not satisfied at all with the college life. 😠 If this continues, things will only get worse.",negative
The club event staff were super friendly and helpful.,positive
"It’s fine overall, though college fest could be better maintained.",neutral
Great job by the management improving the hostel.,positive
"There’s room for improvement in the facilities, but it’s fine for now.",neutral
Kudos to whoever manages the food court! 👏,positive
"Honestly, canteen seems average to me. Could go either way depending on the day.",neutral
Had an awesome experience with the dorm.,positive
"It’s acceptable. mess works as expected. Management is trying, but results aren’t always visible.",neutral
The shuttle staff were super friendly and helpful.,positive
It’s acceptable. food court works as expected.,neutral
The room experience keeps getting worse.,negative
Very satisfied with the mess — keep it up! Would definitely recommend it to other students.,positive
"The college fest service isn’t consistent, but nothing major to complain about.",neutral
"The food court is okay, nothing much to complain or praise.",neutral
"It’s fine overall, though tech symposium could be better maintained. Management is trying, but results aren’t always visible.",neutral
I really liked the room! 😄,positive
"The campus is okay, nothing much to complain or praise.",neutral
"It’s fine overall, though food court could be better maintained.",neutral
"It’s fine overall, though room could be better maintained. Management is trying, but results aren’t always visible.",neutral
Loved the atmosphere during the tech symposium! ❤️ The new system is faster and more organized.,positive
"Totally frustrated by the wifi. Needs serious improvement. If this continues, things will only get worse.",negative
"The dorm quality is dropping day by day. If this continues, things will only get worse.",negative
Had an awesome experience with the wifi. Would definitely recommend it to other students.,positive
The shuttle has improved so much recently.,positive
Wish the management paid more attention to fixing the hostel. It’s been the same issue for months now.,negative
The snack corner service is poor and staff don’t seem to care. I hope someone actually listens this time.,negative
"The pickup point could use slight improvements but it’s not too bad. Not sure how to feel, some parts are fine, some not.",neutral
"Had an awesome experience with the washroom. Had doubts at first, but they really improved things.",positive
Loved the atmosphere during the mess! ❤️,positive
Everything about the campus felt smooth and well-organized. Would definitely recommend it to other students.,positive
"Can’t say much about the washroom, feels pretty normal. Could go either way depending on the day.",neutral
I really hate how the snack corner is managed.,negative
The library could use slight improvements but it’s not too bad. Could go either way depending on the day.,neutral
"There’s room for improvement in the cultural night, but it’s fine for now.",neutral
Totally frustrated by the facilities. Needs serious improvement. I hope someone actually listens this time.,negative
"Can’t say much about the pickup point, feels pretty normal. Management is trying, but results aren’t always visible.",neutral
Loved the atmosphere during the club event! ❤️,positive
Everything about the college life felt smooth and well-organized. Would definitely recommend it to other students.,positive
"The hostel service isn’t consistent, but nothing major to complain about. Could go either way depending on the day.",neutral
"The snack corner is manageable. Not great, not bad either. Not sure how to feel, some parts are fine, some not.",neutral
Not satisfied at all with the dorm. 😠,negative
Had an awesome experience with the food court.,positive
"The washroom has improved so much recently. Had doubts at first, but they really improved things.",positive
Loved the atmosphere during the snack corner! ❤️,positive
"Mixed feelings about the mess. Some days are good, some aren’t. Could go either way depending on the day.",neutral
"The canteen is okay, nothing much to complain or praise.",neutral
The mess experience keeps getting worse. I hope someone actually listens this time.,negative
"The campus is manageable. Not great, not bad either. Management is trying, but results aren’t always visible.",neutral
"The bus service is manageable. Not great, not bad either. Management is trying, but results aren’t always visible.",neutral
"Honestly, the club event exceeded my expectations. Had doubts at first, but they really improved things.",positive
It’s acceptable. canteen works as expected.,neutral
"There’s room for improvement in the bus service, but it’s fine for now. Could go either way depending on the day.",neutral
Very disappointed with the wifi. 😞,negative
It’s acceptable. library works as expected. Could go either way depending on the day.,neutral
"Honestly, transport seems average to me.",neutral
The tech symposium staff were super friendly and helpful.,positive
"The wifi is manageable. Not great, not bad either.",neutral
"There’s room for improvement in the canteen, but it’s fine for now. Not sure how to feel, some parts are fine, some not.",neutral
Kudos to whoever manages the library! 👏,positive
"It’s fine overall, though college fest could be better maintained.",neutral
"Honestly, facilities seems average to me.",neutral
The library has improved so much recently. Would definitely recommend it to other students.,positive
Very disappointed with the shuttle. 😞,negative
The pickup point experience keeps getting worse.,negative
"The mess is okay, nothing much to complain or praise. Could go either way depending on the day.",neutral
The washroom service is poor and staff don’t seem to care.,negative
Loved the atmosphere during the college fest! ❤️,positive
"Mixed feelings about the college life. Some days are good, some aren’t.",neutral
"Honestly, transport seems average to me.",neutral
"Mixed feelings about the snack corner. Some days are good, some aren’t. Management is trying, but results aren’t always visible.",neutral
Loved the atmosphere during the food court! ❤️ Would definitely recommend it to other students.,positive
"The shuttle is manageable. Not great, not bad either.",neutral
I really liked the tech symposium! 😄 Would definitely recommend it to other students.,positive
"Totally frustrated by the snack corner. Needs serious improvement. If this continues, things will only get worse.",negative
Kudos to whoever manages the snack corner! 👏,positive
"It’s fine overall, though club event could be better maintained.",neutral
"The canteen has improved so much recently. Had doubts at first, but they really improved things.",positive
"The pickup point service isn’t consistent, but nothing major to complain about. Not sure how to feel, some parts are fine, some not.",neutral
Great job by the management improving the shuttle. The new system is faster and more organized.,positive
Very satisfied with the campus — keep it up!,positive
It’s acceptable. hostel works as expected.,neutral
The mess service is poor and staff don’t seem to care. It’s been the same issue for months now.,negative
Had an awesome experience with the bus service. The new system is faster and more organized.,positive
"Not satisfied at all with the food court. 😠 If this continues, things will only get worse.",negative
Very disappointed with the washroom. 😞,negative
"The wifi service isn’t consistent, but nothing major to complain about.",neutral
"Can’t say much about the room, feels pretty normal.",neutral
Loved the atmosphere during the college fest! ❤️ The new system is faster and more organized.,positive
Totally frustrated by the hostel. Needs serious improvement. I hope someone actually listens this time.,negative
"It’s acceptable. bus service works as expected. Not sure how to feel, some parts are fine, some not.",neutral
Very satisfied with the transport — keep it up! Would definitely recommend it to other students.,positive
Great job by the management improving the snack corner.,positive
The washroom service is poor and staff don’t seem to care. It’s been the same issue for months now.,negative
Not satisfied at all with the library. 😠,negative
Wish the management paid more attention to fixing the washroom.,negative
"The washroom experience keeps getting worse. If this continues, things will only get worse.",negative
"The shuttle service isn’t consistent, but nothing major to complain about. Management is trying, but results aren’t always visible.",neutral
The college fest could use slight improvements but it’s not too bad.,neutral
"I really hate how the washroom is managed. If this continues, things will only get worse.",negative
Loved the atmosphere during the bus service! ❤️ Would definitely recommend it to other students.,positive
Had an awesome experience with the college life. Would definitely recommend it to other students.,positive
I really liked the canteen! 😄,positive
